Sr No,startup,vertical,city,investors,round,amount,year,state
986,BitGiving,Consumer Internet,New Delhi,"Harminder sahni, Krishna mehra, Sanjay bakshi",Seed Funding,0,2016,Delhi
987,Bizongo,B2B,Mumbai,"Idg ventures, Accel partners",Private Equity,24.75,2016,Maharashtra
988,Blinge,E-Commerce,Mumbai,"Anupam mittal, Anuj srivastava, Ankit nagori",Seed Funding,0,2016,Maharashtra
989,BlogBeats,Consumer Internet,Bengaluru,Undisclosed investor,Seed Funding,0,2016,Karnataka
990,Blue Box Media,Consumer Internet,Jaipur,"Mahavir pratap sharma, Ajay data, Yogesh chaudhary, Sanjay phophaliya, Siddharth agarwal, Kamal kothari",Seed Funding,0,2016,Rajasthan
991,Blue Tokai Coffee,E-Commerce,New Delhi,Snow leopard technology ventures,Seed Funding,0,2016,Delhi
992,BlueStone,E-Commerce,Mumbai,"Iifl and accel partners, Kalaari capital, Ivycap ventures, Rb investments",Private Equity,247.5,2016,Maharashtra
993,BoiBanit,E-Commerce,Vadodara,Undisclosed investors,Seed Funding,0,2016,Gujarat
994,Bollant Industries,Technology,Hyderabad,Ratan tata,Private Equity,0,2016,Telangana
995,Bombay Shaving,Personal Care,New Delhi,"Noshir kaka, Subramanian ramadorai, Kiran deshpande, Pankaj gupta, Ravi nigam & others",Seed Funding,4.95,2016,Delhi
996,Bombay Shirt Company,Personal Care,Mumbai,Undisclosed investor,Private Equity,8.25,2016,Maharashtra
997,Bonhomia,Food ,New Delhi,"Alok rawat, Grey orange robotics",Seed Funding,8.25,2016,Delhi
998,Bonhomia,Food ,New Delhi,Valpro capital and existing investors,Private Equity,0,2016,Delhi
999,Book My Show,Consumer Internet,Mumbai,"Stripes group, Network 18, Accel partners, Saif partners",Private Equity,676.5,2016,Maharashtra
1000,BookEventz,Consumer Internet,Mumbai,Investors from mumbai angels & letsventure,Seed Funding,0,2016,Maharashtra
